offset,seed,band,boots,how
83,0FFD,0,1,measured
84,5A6C,0,1,measured
85,A1E8,0,1,measured
86,EC38,0,1,measured
87,34E2,0,1,measured
88,7EB5,0,1,measured
89,7EA5,0,1,measured
90,C7C5,0,1,measured
91,3BBC,0,1,measured
92,5B43,0,1,measured
93,A736,0,1,measured
94,EE54,0,1,measured
95,7B05,0,1,measured
96,C95D,0,1,measured
97,1314,0,1,measured
98,5B81,0,1,measured
99,CE81,0,1,measured
100,EE79,0,1,measured
101,38DD,0,1,measured
102,8079,0,1,measured
103,CAD5,0,1,measured
104,1364,0,1,measured
105,5D29,0,1,measured
106,A645,0,1,measured
107,1A21,0,1,measured
108,38F2,0,1,measured
109,803C,0,1,measured
110,C5D7,0,1,measured
111,C5D7,0,1,measured
112,1250,0,1,measured
113,5C0E,0,1,measured
114,A595,0,1,measured
115,EF53,0,1,measured
116,37B2,0,1,measured
117,ACEC,0,1,measured
118,C639,0,1,measured
119,0F41,0,1,measured
120,58EB,0,1,measured
121,EA4B,0,1,measured
122,34F8,0,1,measured
123,7CEC,0,1,measured
124,C557,0,1,measured
125,03AD,0,1,measured
126,4569,0,1,measured
127,8E3A,0,1,measured
128,D765,0,1,measured
129,2771,0,1,measured
130,6A58,0,1,measured
131,B7D4,0,1,measured
132,01B8,0,1,measured
133,4613,0,1,measured
134,939F,0,1,measured
135,DD51,0,1,measured
136,2614,0,1,measured
137,6FC4,0,1,measured
138,9A57,0,1,measured
139,C8BD,0,1,measured
140,082E,0,1,measured
141,5B91,0,1,measured
142,015F,0,1,measured
143,3A58,0,1,measured
144,85CD,0,1,measured
145,CE5F,0,1,measured
146,17A7,0,1,measured
147,6109,0,1,measured
148,AAED,0,1,measured
149,F413,0,1,measured
150,3CB7,0,1,measured
151,7E4A,0,1,measured
152,BCE1,0,1,measured
153,0588,0,1,measured
154,8941,0,1,measured
155,AD29,0,1,measured
156,FAEB,0,1,measured
157,4495,0,1,measured
158,8D09,0,1,measured
159,D679,0,1,measured
160,1FB8,0,1,measured
161,6960,0,1,measured
162,B01F,0,1,measured
163,DCA8,0,1,measured
164,2621,0,1,measured
165,6EE9,0,1,measured
166,B815,0,1,measured
167,3648,0,1,measured
168,4C46,0,1,measured
169,9604,0,1,measured
170,D99A,0,1,measured
171,26E9,0,1,measured
172,7034,0,1,measured
173,B9D7,0,1,measured
174,02A9,0,1,measured
175,4B59,0,1,measured
176,76BE,0,1,measured
177,A489,0,1,measured
178,ED92,0,1,measured
179,3776,0,1,measured
180,E91B,0,1,measured
181,1A39,0,1,measured
182,6568,0,1,measured
183,AC31,0,1,measured
184,F5A9,0,1,measured
185,3A6B,0,1,measured
186,8875,0,1,measured
187,EB4F,0,1,measured
188,1AFB,0,1,measured
189,6411,0,1,measured
190,ACF4,0,1,measured
191,F667,0,1,measured
192,4006,0,1,measured
193,AB06,0,1,measured
194,D19E,0,1,measured
195,1E67,0,1,measured
196,6A7A,0,1,measured
197,B27B,0,1,measured
198,F7F6,0,1,measured
199,43FB,0,1,measured
200,812E,0,1,measured
201,D2F1,0,1,measured
202,147E,0,1,measured
203,5605,0,1,measured
204,9B78,0,1,measured
205,E4DB,0,1,measured
206,66C8,0,1,measured
207,99C3,0,1,measured
208,E2D6,0,1,measured
209,2EC7,0,1,measured
210,7519,0,1,measured
211,BECD,0,1,measured
212,093E,0,1,measured
213,4E0C,0,1,measured
214,971C,0,1,measured
215,B73C,0,1,measured
216,0CB9,0,1,measured
217,5228,0,1,measured
218,9B84,0,1,measured
219,1EA1,0,1,measured
220,4322,0,1,measured
221,8C35,0,1,measured
222,D5E9,0,1,measured
223,1E6B,0,1,measured
224,6739,0,1,measured
225,B065,0,1,measured
226,FA46,0,1,measured
227,434E,0,1,measured
228,6957,0,1,measured
229,A6AB,0,1,measured
230,EA93,0,1,measured
231,3841,0,1,measured
232,848C,0,1,measured
233,C9B2,0,1,measured
234,1273,0,1,measured
235,5C46,0,1,measured
236,A4F0,0,1,measured
237,EE37,0,1,measured
238,380A,0,1,measured
239,80A7,0,1,measured
240,C9FB,0,1,measured
241,F4D0,0,1,measured
242,207E,0,1,measured
243,68B4,0,1,measured
244,3645,0,1,measured
245,470B,0,1,measured
246,94E5,0,1,measured
247,DEB1,0,1,measured
248,2638,0,1,measured
249,7033,0,1,measured
250,B8BF,0,1,measured
251,031B,0,1,measured
252,4BD2,0,1,measured
253,8CF9,0,1,measured
254,CB36,0,1,measured
255,141B,0,1,measured
256,5D45,0,1,measured
257,F478,0,1,measured
258,297A,0,1,measured
259,7298,0,1,measured
260,B81D,0,1,measured
261,046F,0,1,measured
262,4E56,0,1,measured
263,96ED,0,1,measured
264,E0D6,0,1,measured
265,2963,0,1,measured
266,2963,0,1,measured
267,576C,0,1,measured
